date_times,id,pic_url,price,retailer,title,url
2017-04-24T10:51:48.243148+00:00,92,https://n4.sdlcdn.com/imgs/b/w/x/large/Disney-Pixar-Cars-2-Movie-SDL026679623-1-fe6d8.jpg,4664,AMAZON INDIA,Disney Pixar Cars 2 Movie Exclusive 148 Team Mcqueen Die Cast Helicopter - Chase Edition!,
2017-04-24T10:51:48.255031+00:00,93,https://n4.sdlcdn.com/imgs/c/v/6/large/Disney-Pixar-CARS-Movie-155-SDL926856375-1-12ba6.jpg,4975,AMAZON INDIA,Disney / Pixar CARS Movie 155 Die Cast Car Oversized Vehicle Miles Meat Truck,
2017-04-24T10:51:48.265850+00:00,94,https://n4.sdlcdn.com/imgs/c/g/g/large/Disney-Pixar-Cars-Race-Day-SDL533484775-1-3c723.jpg,6351,AMAZON INDIA,Disney Pixar Cars Race Day Fan 4 Pack With Mama Bernoulli,
2017-04-24T10:51:48.276496+00:00,95,https://n4.sdlcdn.com/imgs/c/0/q/large/Disney-Pixar-Toy-Story-3-SDL485697302-1-a8bf9.jpg,3201,AMAZON INDIA,Disney / Pixar Toy Story 3 Collection Action Figure Buzz,
2017-04-24T10:51:48.287833+00:00,96,https://n4.sdlcdn.com/imgs/c/y/c/large/Disney-Pixar-The-Good-Dinosaur-SDL093943360-1-7d794.jpg,1360,AMAZON INDIA,Disney Pixar The Good Dinosaur Authentic Licensed Stampers Party Favors (10 Stampers),
2017-04-24T10:51:48.299194+00:00,97,https://n4.sdlcdn.com/imgs/c/g/s/large/Vtech-84580-4-Vtech-Disney-SDL094115791-1-00ada.jpg,2893,AMAZON INDIA,Vtech 84580-4 Vtech Disney Pixar Cars 2 V.Smile Motion Game - Pack of 4,
2017-04-24T10:51:48.310465+00:00,98,https://n4.sdlcdn.com/imgs/c/g/g/large/Disney-Pixar-Cars-Series-1-SDL831449201-1-a3481.jpg,1657,AMAZON INDIA,Disney Pixar Cars Series 1 Original Green Ramone 1:55 Scale Die Cast Car,
2017-04-24T10:51:48.321513+00:00,99,https://n4.sdlcdn.com/imgs/c/g/g/large/Disney-Pixar-Cars-Fillmore-Sarge-SDL421127699-1-09b97.jpg,3051,AMAZON INDIA,Disney Pixar Cars Fillmore & Sarge Sergent Sargento Supercharged Movie Moments International Languag,
2017-04-24T10:51:48.332581+00:00,100,https://n4.sdlcdn.com/imgs/c/0/t/large/Disney-Pixar-Cars-Micro-Drifters-SDL646926990-1-d6f5f.jpg,2619,AMAZON INDIA,Disney/Pixar Cars Micro Drifters Fast-Flip Carry Case,
2017-04-24T10:51:48.343165+00:00,101,https://n3.sdlcdn.com/imgs/c/e/r/large/The-Good-Dinosaur-Butch-Feature-SDL672265639-1-db838.jpg,3667,AMAZON INDIA,The Good Dinosaur Butch Feature Action Figure,
